name,HA_segID,Subtype,original_clade,Clade_group,Domestic_Status,zoonotic_case,date
H5N2|A/chicken/Mexico/1864/2019|OK205699|2019-09-03,OK205699,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2019.9.3
H5N8|A/chicken/Egypt/S18182C/2020|OL354574|2020-04-01,OL354574,H5N8,2.3.4.4b,H5N8_2.3.4.4b,Domestic,non-zoonotic,2020.4.1
H5N2|A/wild_duck/Western_Australia/AS16-3326-185/2016|OL371319|2016-11-01,OL371319,H5N2,EA-nonGsGD,EA-nonGsGD,Wild,nonGsGd,2016.11.1
H5N3|A/wild_waterfowl/Northern_Territory/20140781-34/2014|OL371967|2014-08-01,OL371967,H5N3,EA-nonGsGD,EA-nonGsGD,Wild,nonGsGd,2014.8.1
H5N2|A/wild_waterfowl/Western_Australia/AS16-3326-115/2016|OL372151|2016-11-01,OL372151,H5N2,EA-nonGsGD,EA-nonGsGD,Wild,nonGsGd,2016.11.1
H5N1|A/chicken/Lesotho/341_10/2021|OL477469|2021-05-29,OL477469,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Domestic,non-zoonotic,2021.5.29
H5N6|A/Guangdong/lgf/2021|OL519551|2021-09-19,OL519551,H5N6,2.3.4.4b,H5N6_2.3.4.4b,Human,zoonotic,2021.9.19
H5N8|A/Wild_bird/China/Cixi02/2020|ON171655|2020-11-25,ON171655,H5N8,2.3.4.4b,H5N8_2.3.4.4b,Wild,non-zoonotic,2020.11.25
H5N1|A/equine/China/61/2010|ON533567|2010-01-25,ON533567,H5N1,2002.3.4,2002.3.4,Mammals,zoonotic,2010.1.25
H5N6|A/Yangzhou/125/2022|OP209769|2022-02-26,OP209769,H5N6,2.3.4.4b,H5N6_2.3.4.4b,Human,zoonotic,2022.2.26
H5N1|A/Vulpes_vulpes/USA/103994/2022|OP269991|2022-05-10,OP269991,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Mammals,zoonotic,2022.5.10
H5N1|A/Tiger/China/HDHZ03/2016|OP782324|2016--,OP782324,H5N1,2.3.2.1d,2.3.2.1,Mammals,zoonotic,2016--
H5N1|A/chicken/Colombia/Bolivar/3500/2022|OQ683458|2022-11-08,OQ683458,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Domestic,non-zoonotic,2022.11.8
H5N1|A/harbor_seal/Maine/MME-22-147Pv-L/2022|OQ730456|2022-07-02,OQ730456,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Marine,zoonotic,2022.7.2
H5N1|A/harbor_seal/Maine/MME-22-185Pv-L/2022|OQ730471|2022-07-07,OQ730471,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Marine,zoonotic,2022.7.7
H5N1|A/harbor_seal/Maine/MME-22-117Pv-ns/2022|OQ730487|2022-06-24,OQ730487,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Marine,zoonotic,2022.6.24
H5N1|A/blue-winged_teal/Texas/UGAI22-2966/2022|OQ732972|2022-09-,OQ732972,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.9.1
H5N1|A/bald_eagle/North_Carolina/W23-142B/2023|OQ732988|2023-02-19,OQ732988,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.2.19
H5N1|A/striped_skunk/Kansas/W23-094/2023|OQ733084|2023-01-27,OQ733084,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Mammals,zoonotic,2023.1.27
H5N1|A/bald_eagle/Virginia/W22-1222/2022|OQ734972|2022-12-08,OQ734972,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.12.8
H5N8|A/common_teal/Egypt/MB-F-1201C/2017|OQ794093|2017-02-25,OQ794093,H5N8,2.3.4.4b,H5N8_2.3.4.4b,Wild,non-zoonotic,2017.2.25
H5N8|A/common_teal/Egypt/MB-F-1196C/2017|OQ794112|2017-02-25,OQ794112,H5N8,2.3.4.4b,H5N8_2.3.4.4b,Wild,non-zoonotic,2017.2.25
